,國文,英文,數學,社會,自然
0,15,9,7,6,9
1,6,7,6,13,14
2,13,13,11,9,6
3,12,7,15,8,14
4,15,12,11,12,11
5,10,7,14,8,11
6,15,10,10,9,11
7,12,9,7,7,13
8,11,6,10,14,7
9,14,8,12,11,9
10,11,9,12,11,13
11,15,13,14,9,9
12,6,6,15,11,12
13,10,15,14,10,10
14,10,12,7,9,10
15,6,7,15,11,11
16,8,11,14,10,11
17,14,14,7,11,7
18,13,11,7,10,10
19,15,8,11,12,13
20,8,15,8,14,13
21,12,7,8,12,11
22,12,8,12,14,9
23,9,11,9,13,7
24,11,10,9,6,6
25,11,7,12,6,13
26,9,12,13,14,15
27,15,10,7,10,10
28,13,14,7,9,11
29,15,13,6,11,7
30,6,6,9,12,15
31,6,12,6,13,7
32,10,11,7,14,12
33,9,8,13,7,15
34,10,9,7,15,15
35,9,13,10,15,13
36,14,12,13,13,12
37,13,15,15,14,15
38,15,15,6,9,14
39,9,6,11,13,10
40,10,13,11,14,11
41,7,13,9,7,12
42,10,10,9,10,7
43,11,10,7,13,9
44,14,9,12,10,13
45,7,14,6,10,6
46,6,15,10,8,7
47,9,13,7,8,14
48,13,10,8,12,12
49,7,14,15,15,8
50,14,6,12,8,10
51,9,15,10,8,14
52,12,6,12,8,8
53,13,7,15,13,9
54,14,12,11,7,10
55,7,13,7,12,13
56,15,13,15,12,12
57,15,13,10,15,12
58,14,11,7,6,7
59,9,9,13,12,7
60,11,13,11,8,10
61,6,13,11,13,10
62,9,10,6,8,11
63,14,8,6,12,10
64,11,11,14,8,14
65,11,14,8,14,15
66,6,8,14,8,12
67,14,9,8,13,15
68,14,9,14,9,14
69,10,7,7,9,14
70,7,11,6,12,10
71,8,8,12,6,8
72,6,8,6,14,7
73,15,9,10,14,7
74,15,13,13,12,15
75,6,8,7,9,6
76,13,12,6,13,10
77,15,6,8,12,9
78,7,8,10,11,7
79,15,12,13,6,9
80,9,10,6,14,13
81,9,10,8,14,7
82,6,7,6,15,15
83,11,8,7,9,11
84,15,11,15,14,13
85,8,9,13,8,15
86,15,7,10,14,6
87,11,7,11,9,13
88,10,12,11,9,7
89,12,8,13,9,10
90,7,13,13,13,11
91,11,6,7,8,11
92,13,7,7,13,14
93,14,14,7,14,11
94,12,15,6,12,8
95,8,7,6,14,11
96,6,15,14,12,7
97,13,7,8,11,11
98,10,11,11,15,10
99,12,6,12,11,14
